L0,L1,L2,Graph
0.15910697,-0.8409451,,
0.3984704,0.48537564,,
0.7237129,0.6612388,,
0.32628465,0.54785883,,
0.33650768,-0.31131494,,
-0.34253487,0.8704181,,
0.3267119,-0.3046986,,
-0.062087208,-0.14115822,,
0.31497836,0.016570807,,
-0.95359147,0.36127138,,
-0.75412774,-1.0,,
0.5488814,0.6673738,,
-1.0,-0.5187385,,
-0.23075104,-0.99722505,,
-0.01874125,-0.38477886,,
0.8146583,0.073773146,,
0.34759867,0.57763743,,
-0.360403,-0.08759558,,
0.5741387,0.8056874,,
0.49330127,-0.49369657,,
0.46143675,-0.8975508,,
0.4073453,0.83492804,,
0.47525334,-0.98402524,,
-0.7303767,0.90687394,,
-0.1331873,0.46732044,,
-0.31578994,-0.6718336,,
0.18013918,0.26254213,,
-0.7463875,0.109856606,,
0.8328489,-0.7531035,,
0.30785835,-0.15839577,,
-0.7562628,0.6311898,,
-0.67795074,-0.63482285,,
0.8692764,-0.71884835,,
-0.22121926,0.750854,,
-0.9132837,0.19130898,,
-0.21679068,0.78839314,,
0.83507025,-0.11030233,,
0.52574205,-0.93637276,,
-0.76556027,0.09424341,,
-1.0,0.1339966,,
-0.79202986,0.73022974,,
0.38809645,0.5407133,,
0.76036894,0.6194633,,
0.03171122,0.06131792,,
-0.48470426,0.5198064,,
0.6321032,0.22261667,,
0.8601979,-0.3635826,,
-0.12667882,-0.4819759,,
0.6999346,0.06351471,,
0.9407917,-0.47608697,,
-0.7791854,-0.5805137,,
-0.6398909,0.58733153,,
0.27220988,0.061854243,,
-0.6420353,0.8934529,,
-0.20042717,0.82289755,,
-0.9706938,0.9666276,,
-0.3242414,0.8492422,,
0.17051983,-0.53787494,,
0.27780652,-0.6710856,,
0.4851948,-0.46647948,,
-0.77288854,0.8433176,,
0.402066,-0.4925294,,
-0.06620431,-0.6848948,,
-0.07293308,0.9795277,,
0.28762537,0.41693783,,
-0.4802373,0.47440457,,
0.986115,0.35730696,,
-0.52811027,-0.18008518,,
0.8540497,0.535118,,
-0.13452923,-0.112556815,,
0.9779488,0.3006395,,
1.0,0.8401207,,
0.17827332,-0.32856238,,
-0.42211425,0.7184031,,
0.5265549,0.40451753,,
0.07488084,0.20239234,,
